,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,stop_id,stop_name,stop_code,zone_id,2/12/23 14:59,02/15/2023 19:35:50,02/24/2023 14:41:52,02/25/2023 14:07:50,02/25/2023 16:27:47,02/25/2023 18:00:57,03/03/2023 13:06:18,03/03/2023 16:06:38,03/04/2023 10:45:26,03/04/2023 14:11:06,03/06/2023 09:33:28,03/06/2023 14:23:25,03/10/2023 14:54:32,03/10/2023 17:21:20,03/12/2023 13:12:56,03/12/2023 17:20:18,03/16/2023 13:01:24,03/16/2023 17:45:58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,Park St & Otis Dr,57537,E,362.0,0.0,73.0,107.5,36.0,0.0,49.0,1183.0,57.5,186.5,356.0,33.0,203.0,278.0,116.0,95.0,0.0,391.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,125,Park St & San Jose Av,58895,E,437.5,0.0,73.0,151.5,42.0,60.0,49.0,0.0,132.5,215.5,356.0,33.0,203.0,278.0,84.5,109.0,0.0,391.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,154,2019 Shoreline Dr,57367,E,443.0,0.0,73.0,148.5,0.0,0.0,49.0,1183.0,171.5,272.0,356.0,33.0,203.0,278.0,139.0,169.0,0.0,391.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,158,Willow St & Shoreline Dr,50510,E,448.0,0.0,73.0,159.5,0.0,0.0,49.0,1183.0,176.5,284.0,356.0,33.0,203.0,278.0,148.5,177.0,0.0,391.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,160,Alameda South Shore Center & Kohl's,50300,E,443.0,0.0,73.0,236.0,118.0,59.0,49.0,1183.0,171.5,260.0,356.0,33.0,203.0,278.0,149.0,171.0,0.0,391.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,168,Webster St & Lincoln Av,55549,E,625.6666667,0.0,253.0,113.5,0.0,0.0,38.0,1183.0,203.0,231.0,233.0,33.0,203.0,278.0,100.0,0.0,0.0,477.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,171,Whitehall Pl & Willow St,51145,E,461.0,0.0,73.0,179.5,147.0,94.0,49.0,1198.0,192.5,265.3333333333333,356.0,33.0,203.0,278.0,161.0,194.0,0.0,391.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,173,Willow St & Franciscan Way,57597,E,453.0,0.0,73.0,170.5,0.0,0.0,57.5,1198.0,185.5,258.0,356.0,33.0,203.0,287.0,163.0,188.0,0.0,391.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,179,Park St & Buena Vista Av,56658,E,687.0,0.0,73.0,89.5,0.0,0.0,57.5,0.0,58.0,121.0,356.0,0.0,203.0,287.0,26.5,110.0,0.0,391.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,Central Av & 8th St,54233,E,609.3333333,0.0,253.0,145.0,0.0,0.0,46.5,1198.0,21.0,190.0,233.0,33.0,203.0,287.0,61.0,283.0,0.0,477.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,181,Park St & Santa Clara Av,52666,E,415.5,0.0,73.0,198.5,13.0,26.0,57.5,0.0,98.0,239.0,356.0,33.0,203.0,287.0,82.5,119.0,0.0,391.0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,183,Park St & Encinal Av,51444,E,458.0,0.0,73.0,182.0,74.0,79.0,57.5,0.0,147.5,228.0,356.0,33.0,203.0,287.0,97.5,130.0,0.0,391.0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,186,Webster St & Central Av,55975,E,625.0,0.0,253.0,115.0,0.0,0.0,46.5,1198.0,10.0,185.0,233.0,33.0,203.0,287.0,24.0,0.0,0.0,477.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,188,Webster St & Santa Clara Av,55444,E,607.0,0.0,253.0,87.5,0.0,0.0,46.5,1198.0,39.0,205.0,233.0,33.0,203.0,287.0,82.0,0.0,0.0,477.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,190,Alameda South Shore Center At Park St,55519,E,384.0,0.0,73.0,130.0,52.0,45.0,57.5,1198.0,93.5,196.0,356.0,33.0,203.0,287.0,127.0,118.0,0.0,391.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,203,Webster St & Atlantic Av,59400,E,406.0,0.0,253.0,81.5,0.0,0.0,46.5,1198.0,239.5,202.0,233.0,33.0,398.5,287.0,78.0,71.0,0.0,477.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2036,12th St & Broadway (12th St BART),55557,E,721.0,982.0,253.0,156.0,30.0,0.0,46.5,1198.0,317.0,299.0,233.0,33.0,398.5,293.0,24.0,147.0,0.0,477.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2103,23rd Av & 29th Av,55187,E,254.3333333,0.0,73.0,121.5,0.0,0.0,57.5,0.0,94.0,159.0,356.0,0.0,0.0,287.0,65.5,144.0,0.0,391.0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,211,Webster St & Willie Stargell Av,50542,E,426.0,0.0,253.0,144.0,0.0,0.0,46.5,1198.0,227.0,189.0,233.0,33.0,398.5,293.0,111.0,71.0,0.0,477.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2606,E 12th St & Fruitvale Av,57785,E,269.0,0.0,88.0,155.5,51.0,89.0,57.5,0.0,98.0,202.0,356.0,0.0,0.0,281.0,137.5,256.0,0.0,391.0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2820,Fruitvale Av & Blossom St,55400,E,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,42.0,0.0,356.0,0.0,0.0,281.0,0.0,63.0,0.0,0.0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2821,Fruitvale Av & Castello St,54844,E,0.0,0.0,0.0,30.0,12.0,56.0,75.0,0.0,74.0,34.0,356.0,0.0,0.0,281.0,30.0,61.0,0.0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2822,Fruitvale Av & International Blvd,50112,E,0.0,0.0,0.0,16.5,0.0,7.0,57.5,0.0,80.0,62.0,356.0,0.0,0.0,281.0,0.0,85.0,0.0,391.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2823,Fruitvale Av & E 16th St,51223,E,0.0,0.0,0.0,0.0,0.0,0.0,57.5,1023.0,0.0,8.0,356.0,0.0,0.0,281.0,0.0,33.0,0.0,0.0
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2824,Fruitvale Av & E 23rd St,58550,E,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,356.0,0.0,0.0,281.0,0.0,26.0,0.0,0.0
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2828,Fruitvale Av & Foothill Blvd,55119,E,0.0,0.0,0.0,0.0,0.0,0.0,57.5,1023.0,25.0,0.0,356.0,0.0,0.0,281.0,0.0,63.0,0.0,0.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2830,Fruitvale Av & Logan St,55657,E,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,15.0,0.0,356.0,0.0,0.0,281.0,0.0,47.0,0.0,0.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2831,Fruitvale Av & MacArthur Blvd,55595,E,0.0,761.0,267.5,0.0,0.0,58.0,855.0,280.0,0.0,0.0,52.0,51.0,283.0,631.5,0.0,0.0,279.0,194.33333333333334
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2833,Fruitvale Av & Montana St,55622,E,10.0,0.0,0.0,77.0,46.0,67.0,75.0,0.0,112.0,57.0,356.0,0.0,0.0,281.0,63.5,86.0,0.0,0.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2843,Fruitvale BART,59000,E,0.0,0.0,88.0,0.0,0.0,10.0,57.5,1023.0,87.0,87.0,356.0,0.0,0.0,281.0,29.5,116.0,0.0,401.0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,8th St & Portola Av,57793,E,813.5,0.0,252.5,117.0,0.0,0.0,46.5,1198.0,3.0,155.0,233.0,33.0,203.0,287.0,11.0,181.0,0.0,491.0
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3658,12th St & Harrison St,58858,E,714.0,982.0,252.5,206.5,30.0,0.0,46.5,1198.0,317.0,320.0,233.0,33.0,398.5,293.0,41.0,105.0,0.0,491.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,3667,Martin Luther King Jr Way & 11th St,58900,E,0.0,982.0,252.5,0.0,62.0,0.0,46.5,1175.0,275.0,0.0,233.0,20.5,398.5,293.0,43.0,0.0,432.0,491.0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,3696,Harrison St & 8th St,50237,E,371.0,0.0,252.5,175.5,0.0,0.0,46.5,1198.0,230.0,291.0,233.0,33.0,398.5,293.0,0.0,130.0,0.0,491.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,49,433 Grand St (Wood Middle School),55410,E,394.0,0.0,252.5,102.5,0.0,0.0,46.5,1198.0,152.5,254.0,233.0,33.0,203.0,287.0,85.0,196.0,0.0,491.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,50,Grand St & Shoreline Dr,59934,E,412.0,0.0,88.0,117.5,0.0,0.0,40.0,1198.0,143.5,294.0,233.0,33.0,203.0,287.0,102.5,204.0,0.0,401.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,5232,Park St & Clement Av,51027,E,704.0,0.0,88.0,109.5,0.0,11.0,57.5,0.0,51.0,152.0,356.0,0.0,203.0,287.0,35.5,124.0,0.0,401.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5268,Fruitvale Av & School St,51269,E,0.0,0.0,0.0,13.0,0.0,47.0,75.0,0.0,60.0,15.0,356.0,0.0,0.0,281.0,4.0,38.0,0.0,0.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,5269,Fruitvale Av & Brookdale Av,51273,E,0.0,0.0,0.0,0.0,0.0,13.0,75.0,0.0,13.0,0.0,356.0,0.0,0.0,281.0,0.0,30.0,0.0,0.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,5270,Fruitvale Av & Lynde St,51274,E,0.0,0.0,0.0,0.0,0.0,11.0,75.0,0.0,0.0,0.0,356.0,0.0,0.0,281.0,0.0,71.0,0.0,0.0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5271,Fruitvale Av & E 18th St,51276,E,0.0,0.0,0.0,0.0,0.0,0.0,57.5,1023.0,5.0,0.0,356.0,0.0,0.0,281.0,0.0,50.0,0.0,0.0
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,5322,Webster St & Buena Vista Av,51478,E,402.0,0.0,252.5,92.5,0.0,0.0,46.5,1198.0,212.5,238.0,233.0,33.0,203.0,287.0,120.0,0.0,0.0,491.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,5336,12th & Clay St,51528,E,702.0,982.0,252.5,154.0,26.0,0.0,46.5,1198.0,321.0,295.0,233.0,20.5,398.5,293.0,7.0,124.5,0.0,491.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,5743,29th Av & Railroad Crossing,58856,E,272.0,0.0,88.0,137.5,34.5,92.0,57.5,0.0,168.0,183.0,356.0,0.0,0.0,281.0,103.5,264.0,0.0,401.0
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,6244,Westline Dr & Otis Dr,52967,E,583.6666667,0.0,252.5,80.5,0.0,0.0,46.5,1198.0,26.0,200.0,233.0,33.0,203.0,287.0,20.0,214.0,0.0,491.0
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,6245,Otis Dr & Larchmont Isle,52969,E,620.6666667,0.0,252.5,84.5,0.0,0.0,46.5,1198.0,75.0,207.0,233.0,33.0,203.0,287.0,52.5,251.0,0.0,491.0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,6247,Otis Dr & Grand St,52975,E,673.3333333,0.0,252.5,94.5,0.0,0.0,46.5,1198.0,138.5,244.0,233.0,33.0,203.0,287.0,98.0,178.5,0.0,491.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,6292,Shoreline Dr & Kitty Hawk Rd,53102,E,420.0,0.0,88.0,127.5,0.0,0.0,57.5,1198.0,152.5,277.0,356.0,33.0,203.0,287.0,116.5,207.5,0.0,401.0
